candidate_id,local_weight,pattern_weight,down_threshold,down_margin,minimum_down_calls_met,months,calls,hits,accuracy,up_calls,down_calls,down_hits,down_accuracy
11,0.0,0.0,0.65,0.1,True,60,900,571,0.6344444444444445,833,67,38,0.5671641791044776
2,0.0,0.0,0.5,0.1,True,60,900,570,0.6333333333333333,830,70,40,0.5714285714285714
5,0.0,0.0,0.55,0.1,True,60,900,570,0.6333333333333333,830,70,40,0.5714285714285714
8,0.0,0.0,0.6,0.1,True,60,900,570,0.6333333333333333,830,70,40,0.5714285714285714
10,0.0,0.0,0.65,0.05,True,60,900,570,0.6333333333333333,819,81,46,0.5679012345679012
9,0.0,0.0,0.65,0.0,True,60,900,570,0.6333333333333333,817,83,47,0.5662650602409639
22,0.25,0.0,0.65,0.05,True,60,900,570,0.6333333333333333,836,64,36,0.5625
18,0.25,0.0,0.6,0.0,True,60,900,570,0.6333333333333333,825,75,42,0.56
0,0.0,0.0,0.5,0.0,True,60,900,569,0.6322222222222222,807,93,53,0.5698924731182796
3,0.0,0.0,0.55,0.0,True,60,900,569,0.6322222222222222,807,93,53,0.5698924731182796
6,0.0,0.0,0.6,0.0,True,60,900,569,0.6322222222222222,807,93,53,0.5698924731182796
1,0.0,0.0,0.5,0.05,True,60,900,569,0.6322222222222222,812,88,50,0.5681818181818182
4,0.0,0.0,0.55,0.05,True,60,900,569,0.6322222222222222,812,88,50,0.5681818181818182
7,0.0,0.0,0.6,0.05,True,60,900,569,0.6322222222222222,812,88,50,0.5681818181818182
21,0.25,0.0,0.65,0.0,True,60,900,569,0.6322222222222222,835,65,36,0.5538461538461539
12,0.25,0.0,0.5,0.0,True,60,900,569,0.6322222222222222,824,76,42,0.5526315789473685
15,0.25,0.0,0.55,0.0,True,60,900,569,0.6322222222222222,824,76,42,0.5526315789473685
