family,feature_set,logistic_c,minimum_local_rows,local_weight,fallback_rate,months,calls,hits,accuracy,monthly_mean,monthly_median,monthly_std,up_calls,down_calls,hits_vs_baseline
fixed_shrinkage,core8,0.1,36,0.1,0.07724425887265135,60,900,573,0.6366666666666667,0.6366666666666667,0.6666666666666666,0.29418085063674004,900,0,-6
fixed_shrinkage,core8,0.1,36,0.2,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2924022202043177,900,0,-9
fixed_shrinkage,core8,0.1,36,0.3,0.07724425887265135,60,900,576,0.64,0.6400000000000001,0.6666666666666666,0.28791084621325336,900,0,-3
fixed_shrinkage,core8,0.1,36,0.4,0.07724425887265135,60,900,572,0.6355555555555555,0.6355555555555555,0.6666666666666666,0.28349889922740673,900,0,-7
fixed_shrinkage,core8,0.1,36,0.5,0.07724425887265135,60,900,572,0.6355555555555555,0.6355555555555555,0.6666666666666666,0.28588032122995305,900,0,-7
pure_local,core8,0.1,48,1.0,0.13319415448851774,60,900,562,0.6244444444444445,0.6244444444444444,0.6666666666666666,0.281766466234072,900,0,-17
fixed_shrinkage,core8,0.1,48,0.1,0.13319415448851774,60,900,572,0.6355555555555555,0.6355555555555557,0.6666666666666666,0.2934223456796203,900,0,-7
fixed_shrinkage,core8,0.1,48,0.2,0.13319415448851774,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.2916261742136729,900,0,-10
fixed_shrinkage,core8,0.1,48,0.3,0.13319415448851774,60,900,574,0.6377777777777778,0.6377777777777778,0.6666666666666666,0.28611737326992237,900,0,-5
fixed_shrinkage,core8,0.1,48,0.4,0.13319415448851774,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.2824407120205126,900,0,-8
fixed_shrinkage,core8,0.1,48,0.5,0.13319415448851774,60,900,572,0.6355555555555555,0.6355555555555555,0.6666666666666666,0.28535283387259563,900,0,-7
pure_local,core8,0.1,60,1.0,0.20542797494780793,60,900,565,0.6277777777777778,0.6277777777777777,0.6666666666666666,0.27970704789620926,900,0,-14
fixed_shrinkage,core8,0.1,60,0.1,0.20542797494780793,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.29419792117485,900,0,-8
fixed_shrinkage,core8,0.1,60,0.2,0.20542797494780793,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.28981237301145996,900,0,-10
fixed_shrinkage,core8,0.1,60,0.3,0.20542797494780793,60,900,575,0.6388888888888888,0.6388888888888891,0.7,0.2837180284163522,900,0,-4
fixed_shrinkage,core8,0.1,60,0.4,0.20542797494780793,60,900,573,0.6366666666666667,0.6366666666666666,0.7333333333333333,0.28481334952525766,900,0,-6
fixed_shrinkage,core8,0.1,60,0.5,0.20542797494780793,60,900,575,0.6388888888888888,0.638888888888889,0.7333333333333333,0.2847780823436066,900,0,-4
