feature,mean_coefficient,cross_indicator_std,cross_indicator_min,cross_indicator_max,mean_within_indicator_std_over_origins,variance_ratio_within_over_between,mean_sign_consistency,indicators_positive,indicators_negative
direction_lag_1,-0.06566954654751432,0.19973339893384165,-0.4954600792449076,0.37706424630257435,0.06957002354491117,0.12132293706558227,0.9191338590571734,16,30
change_lag_1,0.12930612552855114,0.18607486624076686,-0.42300955491555575,0.5574034581701891,0.08165029093353088,0.19254845673695936,0.8817151409940928,36,10
momentum_3,0.0395655637170902,0.22556822591914322,-0.3916245415264288,0.5925811207523822,0.07340499326854902,0.10589985333458336,0.8905750070042447,30,16
momentum_6,-0.01754812519578318,0.1944662277996762,-0.4013283858588639,0.4436228826480524,0.0694462458973485,0.12752906264941558,0.8875058831062372,21,25
rolling_std_12,0.00047747705470890496,0.1842002994648968,-0.37593542921363066,0.4812696982457262,0.07506394410736991,0.16606652425443447,0.8638298467593054,25,21
robust_z_12,0.04826854416371984,0.2148244594565354,-0.382978500293998,0.588690241401892,0.08636846191143399,0.16163779440258755,0.8802488953420631,25,21
distance_mean_12,-0.11226684902805954,0.13695428493455414,-0.37177524864297956,0.2407652370727955,0.06986927648398916,0.2602682803661821,0.8690727307158695,11,35
cross_section_rank,-0.022785282583524812,0.1524490151602879,-0.31420485463661524,0.3062794481075385,0.07520047930314172,0.24332793532127275,0.8769745517133711,21,25
