period,origin_position,baseline_calls,candidate_calls,overlap_count,overlap_pct,added,removed
tuning,120,15,15,14,0.9333333333333333,X42,X32
tuning,121,15,15,14,0.9333333333333333,X17,X23
tuning,122,15,15,14,0.9333333333333333,X42,X18
tuning,123,15,15,14,0.9333333333333333,X19,X21
tuning,124,15,15,13,0.8666666666666667,"X17,X2","X21,X31"
tuning,125,15,15,13,0.8666666666666667,"X19,X42","X21,X29"
tuning,126,15,15,14,0.9333333333333333,X19,X21
tuning,127,15,15,15,1.0,,
tuning,128,15,15,14,0.9333333333333333,X19,X21
tuning,129,15,15,14,0.9333333333333333,X28,X23
tuning,130,15,15,14,0.9333333333333333,X48,X21
tuning,131,15,15,13,0.8666666666666667,"X17,X19","X25,X28"
tuning,132,15,15,15,1.0,,
tuning,133,15,15,14,0.9333333333333333,X20,X23
tuning,134,15,15,12,0.8,"X19,X28,X42","X18,X23,X25"
tuning,135,15,15,13,0.8666666666666667,"X17,X32","X23,X35"
tuning,136,15,15,11,0.7333333333333333,"X17,X42,X49,X6","X23,X25,X28,X37"
tuning,137,15,15,12,0.8,"X17,X42,X6","X23,X29,X35"
tuning,138,15,15,13,0.8666666666666667,"X17,X19","X23,X29"
tuning,139,15,15,14,0.9333333333333333,X49,X42
tuning,140,15,15,13,0.8666666666666667,"X31,X49","X29,X6"
tuning,141,15,15,12,0.8,"X23,X29,X49","X17,X28,X6"
tuning,142,15,15,14,0.9333333333333333,X30,X46
tuning,143,15,15,14,0.9333333333333333,X49,X17
tuning,144,15,15,13,0.8666666666666667,"X20,X49","X25,X28"
tuning,145,15,15,15,1.0,,
tuning,146,15,15,14,0.9333333333333333,X28,X35
tuning,147,15,15,14,0.9333333333333333,X49,X16
tuning,148,15,15,14,0.9333333333333333,X49,X29
tuning,149,15,15,15,1.0,,
tuning,150,15,15,14,0.9333333333333333,X35,X46
tuning,151,15,15,13,0.8666666666666667,"X19,X49","X21,X30"
tuning,152,15,15,13,0.8666666666666667,"X17,X32","X34,X36"
tuning,153,15,15,14,0.9333333333333333,X49,X6
tuning,154,15,15,13,0.8666666666666667,"X31,X32","X46,X6"
tuning,155,15,15,14,0.9333333333333333,X49,X35
tuning,156,15,15,14,0.9333333333333333,X19,X17
tuning,157,15,15,14,0.9333333333333333,X34,X18
tuning,158,15,15,13,0.8666666666666667,"X34,X48","X35,X46"
tuning,159,15,15,13,0.8666666666666667,"X17,X27","X16,X46"
tuning,160,15,15,14,0.9333333333333333,X18,X16
tuning,161,15,15,15,1.0,,
tuning,162,15,15,14,0.9333333333333333,X26,X2
tuning,163,15,15,14,0.9333333333333333,X29,X2
tuning,164,15,15,14,0.9333333333333333,X34,X27
tuning,165,15,15,14,0.9333333333333333,X33,X31
tuning,166,15,15,12,0.8,"X2,X33,X34","X21,X28,X29"
tuning,167,15,15,14,0.9333333333333333,X33,X28
tuning,168,15,15,15,1.0,,
tuning,169,15,15,15,1.0,,
tuning,170,15,15,13,0.8666666666666667,"X28,X33","X2,X48"
tuning,171,15,15,14,0.9333333333333333,X47,X28
tuning,172,15,15,13,0.8666666666666667,"X33,X48","X2,X27"
tuning,173,15,15,15,1.0,,
tuning,174,15,15,14,0.9333333333333333,X29,X31
tuning,175,15,15,14,0.9333333333333333,X33,X31
tuning,176,15,15,14,0.9333333333333333,X33,X31
tuning,177,15,15,15,1.0,,
tuning,178,15,15,14,0.9333333333333333,X29,X31
tuning,179,15,15,15,1.0,,
validation,180,15,15,15,1.0,,
validation,181,15,15,15,1.0,,
validation,182,15,15,15,1.0,,
validation,183,15,15,14,0.9333333333333333,X26,X34
validation,184,15,15,15,1.0,,
validation,185,15,15,14,0.9333333333333333,X27,X31
validation,186,15,15,15,1.0,,
validation,187,15,15,14,0.9333333333333333,X35,X31
validation,188,15,15,14,0.9333333333333333,X31,X33
validation,189,15,15,14,0.9333333333333333,X28,X27
validation,190,15,15,14,0.9333333333333333,X31,X35
validation,191,15,15,14,0.9333333333333333,X31,X34
validation,192,15,15,14,0.9333333333333333,X31,X35
validation,193,15,15,14,0.9333333333333333,X11,X43
validation,194,15,15,13,0.8666666666666667,"X11,X32","X35,X42"
validation,195,15,15,14,0.9333333333333333,X25,X33
validation,196,15,15,14,0.9333333333333333,X43,X34
validation,197,15,15,15,1.0,,
validation,198,15,15,15,1.0,,
validation,199,15,15,14,0.9333333333333333,X33,X23
validation,200,15,15,15,1.0,,
validation,201,15,15,15,1.0,,
validation,202,15,15,15,1.0,,
validation,203,15,15,14,0.9333333333333333,X29,X31
validation,204,15,15,15,1.0,,
validation,205,15,15,14,0.9333333333333333,X28,X43
validation,206,15,15,15,1.0,,
validation,207,15,15,15,1.0,,
validation,208,15,15,14,0.9333333333333333,X34,X16
validation,209,15,15,14,0.9333333333333333,X34,X33
validation,210,15,15,13,0.8666666666666667,"X34,X37","X43,X9"
validation,211,15,15,13,0.8666666666666667,"X31,X33","X3,X9"
validation,212,15,15,14,0.9333333333333333,X37,X31
validation,213,15,15,14,0.9333333333333333,X37,X33
validation,214,15,15,13,0.8666666666666667,"X22,X36","X27,X8"
validation,215,15,15,14,0.9333333333333333,X37,X8
validation,216,15,15,15,1.0,,
validation,217,15,15,13,0.8666666666666667,"X35,X43","X16,X27"
validation,218,15,15,14,0.9333333333333333,X36,X27
validation,219,15,15,15,1.0,,
confirmation,220,15,15,14,0.9333333333333333,X36,X3
confirmation,221,15,15,13,0.8666666666666667,"X36,X37","X3,X43"
confirmation,222,15,15,15,1.0,,
confirmation,223,15,15,14,0.9333333333333333,X22,X8
confirmation,224,15,15,15,1.0,,
confirmation,225,15,15,14,0.9333333333333333,X26,X16
confirmation,226,15,15,14,0.9333333333333333,X26,X28
confirmation,227,15,15,14,0.9333333333333333,X44,X22
confirmation,228,15,15,14,0.9333333333333333,X49,X22
confirmation,229,15,15,14,0.9333333333333333,X22,X29
confirmation,230,15,15,14,0.9333333333333333,X26,X34
confirmation,231,15,15,13,0.8666666666666667,"X22,X8","X28,X34"
confirmation,232,15,15,15,1.0,,
confirmation,233,15,15,14,0.9333333333333333,X26,X36
confirmation,234,15,15,14,0.9333333333333333,X22,X29
confirmation,235,15,15,14,0.9333333333333333,X29,X8
confirmation,236,15,15,15,1.0,,
confirmation,237,15,15,14,0.9333333333333333,X29,X22
confirmation,238,15,15,14,0.9333333333333333,X8,X43
confirmation,239,15,15,14,0.9333333333333333,X28,X8
confirmation,240,15,15,14,0.9333333333333333,X37,X24
confirmation,241,15,15,13,0.8666666666666667,"X22,X37","X24,X28"
confirmation,242,15,15,14,0.9333333333333333,X8,X37
confirmation,243,15,15,15,1.0,,
confirmation,244,15,15,13,0.8666666666666667,"X49,X8","X22,X23"
confirmation,245,15,15,14,0.9333333333333333,X28,X34
confirmation,246,15,15,15,1.0,,
confirmation,247,15,15,13,0.8666666666666667,"X2,X28","X24,X35"
confirmation,248,15,15,14,0.9333333333333333,X34,X3
confirmation,249,15,15,13,0.8666666666666667,"X23,X49","X24,X3"
confirmation,250,15,15,14,0.9333333333333333,X36,X3
confirmation,251,15,15,14,0.9333333333333333,X37,X3
confirmation,252,15,15,13,0.8666666666666667,"X24,X37","X11,X3"
confirmation,253,15,15,13,0.8666666666666667,"X13,X28","X25,X9"
confirmation,254,15,15,13,0.8666666666666667,"X28,X37","X35,X8"
confirmation,255,15,15,13,0.8666666666666667,"X25,X29","X28,X40"
confirmation,256,15,15,14,0.9333333333333333,X29,X40
confirmation,257,15,15,13,0.8666666666666667,"X23,X29","X31,X40"
confirmation,258,15,15,14,0.9333333333333333,X24,X28
confirmation,259,15,15,13,0.8666666666666667,"X1,X13","X3,X8"
confirmation,260,15,15,12,0.8,"X1,X2,X25","X24,X28,X3"
confirmation,261,15,15,13,0.8666666666666667,"X1,X29","X23,X3"
confirmation,262,15,15,14,0.9333333333333333,X29,X3
confirmation,263,15,15,13,0.8666666666666667,"X2,X8","X24,X25"
confirmation,264,15,15,14,0.9333333333333333,X23,X24
confirmation,265,15,15,13,0.8666666666666667,"X8,X9","X22,X25"
confirmation,266,15,15,14,0.9333333333333333,X29,X1
