period,candidate,bucket,rows,mean_probability,observed_rate
confirmation,C_fixed_shrinkage,"(0.596, 0.654]",441,0.621278965445686,0.6145124716553289
confirmation,C_fixed_shrinkage,"(0.654, 0.855]",441,0.697764523099538,0.5850340136054422
confirmation,D_sample_aware_shrinkage,"(0.0712, 0.501]",441,0.45147803016856347,0.5600907029478458
confirmation,D_sample_aware_shrinkage,"(0.501, 0.554]",441,0.5278892474380964,0.5510204081632653
confirmation,D_sample_aware_shrinkage,"(0.554, 0.601]",440,0.57826563786431,0.5613636363636364
confirmation,D_sample_aware_shrinkage,"(0.601, 0.653]",441,0.624578490449771,0.6258503401360545
confirmation,D_sample_aware_shrinkage,"(0.653, 0.84]",441,0.6935362437151824,0.5691609977324263
confirmation,E_interaction,"(0.0706, 0.532]",441,0.4860755034219724,0.5600907029478458
confirmation,E_interaction,"(0.532, 0.57]",441,0.5514649846221399,0.5260770975056689
confirmation,E_interaction,"(0.57, 0.6]",440,0.5857592902043774,0.5886363636363636
confirmation,E_interaction,"(0.6, 0.631]",441,0.6153966930829696,0.6394557823129252
confirmation,E_interaction,"(0.631, 0.767]",441,0.662896310966835,0.5532879818594104
