feature,indicators,correlation_179_vs_266,sign_agreement,std_origin_179,std_origin_266
direction_lag_1,39,0.8625237930918465,0.8717948717948718,0.21529601915845833,0.18289307637974242
change_lag_1,39,0.7512604582904518,0.6666666666666666,0.19468819812528754,0.18893582644799503
momentum_3,39,0.8661764305160821,0.6923076923076923,0.2444599652311049,0.22184364083862743
momentum_6,39,0.8062122111501993,0.717948717948718,0.20517967633879228,0.1767168831123891
rolling_std_12,39,0.798547479970997,0.6666666666666666,0.17689865218793147,0.16241093115566466
robust_z_12,39,0.7878223645969805,0.7692307692307693,0.2267855535028679,0.2259685785561875
distance_mean_12,39,0.6308662391706057,0.7692307692307693,0.16026482424170788,0.14959876564563282
cross_section_rank,39,0.7481348860905458,0.717948717948718,0.16488279258260521,0.12115642590062005
