family,feature_set,logistic_c,minimum_local_rows,maximum_local_weight,reference_rows,mean_effective_weight,months,calls,hits,accuracy,monthly_mean,monthly_median,monthly_std,up_calls,down_calls,hits_vs_baseline
sample_aware_shrinkage,core8,0.25,60,0.1,120,0.05803897007654836,60,900,573,0.6366666666666667,0.6366666666666667,0.6666666666666666,0.29315479928958355,900,0,-6
sample_aware_shrinkage,core8,0.25,60,0.1,180,0.03331384829505915,60,900,574,0.6377777777777778,0.6377777777777778,0.6666666666666666,0.29262540838011597,900,0,-5
sample_aware_shrinkage,core8,0.25,60,0.1,240,0.0222092321967061,60,900,574,0.6377777777777778,0.6377777777777778,0.6666666666666666,0.29262540838011597,900,0,-5
sample_aware_shrinkage,core8,0.25,60,0.2,120,0.11607794015309672,60,900,566,0.6288888888888889,0.6288888888888889,0.6666666666666666,0.29081783936625993,900,0,-13
sample_aware_shrinkage,core8,0.25,60,0.2,180,0.0666276965901183,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.29214233475127055,900,0,-8
sample_aware_shrinkage,core8,0.25,60,0.2,240,0.0444184643934122,60,900,572,0.6355555555555555,0.6355555555555555,0.6666666666666666,0.29367896090431905,900,0,-7
sample_aware_shrinkage,core8,0.25,60,0.3,120,0.1741169102296451,60,900,571,0.6344444444444445,0.6344444444444444,0.7,0.29085021589363397,900,0,-8
sample_aware_shrinkage,core8,0.25,60,0.3,180,0.09994154488517745,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.290850215893634,900,0,-8
sample_aware_shrinkage,core8,0.25,60,0.3,240,0.0666276965901183,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.29214233475127055,900,0,-8
sample_aware_shrinkage,core8,0.25,60,0.4,120,0.23215588030619344,60,900,572,0.6355555555555555,0.6355555555555557,0.7,0.28928554544735013,900,0,-7
sample_aware_shrinkage,core8,0.25,60,0.4,180,0.1332553931802366,60,900,569,0.6322222222222222,0.6322222222222222,0.7,0.28981237301145996,900,0,-10
sample_aware_shrinkage,core8,0.25,60,0.4,240,0.0888369287868244,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.2911090984821387,900,0,-8
sample_aware_shrinkage,core8,0.25,60,0.5,120,0.29019485038274184,60,900,571,0.6344444444444445,0.6344444444444445,0.7,0.2874635269858487,900,0,-8
sample_aware_shrinkage,core8,0.25,60,0.5,180,0.16656924147529575,60,900,571,0.6344444444444445,0.6344444444444444,0.7,0.2929148701501058,900,0,-8
sample_aware_shrinkage,core8,0.25,60,0.5,240,0.11104616098353051,60,900,570,0.6333333333333333,0.6333333333333334,0.7,0.29007434594776643,900,0,-9
