group,calls,hits,accuracy,selection_auc,directional_auc
thematic_equity,101,65,0.6435643564356436,0.605982905982906,0.6300265134776846
ungrouped,0,0,0.0,,
commodity,0,0,0.0,,0.6069019607843138
us_sector,264,162,0.6136363636363636,0.5231784071653353,0.623181165303191
global_equity,158,95,0.6012658227848101,0.6466165413533834,0.6412043690715723
fixed_income,151,90,0.5960264900662252,0.6358834244080146,0.6444919133353677
currency,1,1,1.0,,0.6279616013071897
