fold,calls,hits,accuracy,selection_auc,directional_auc,brier,bacc,mcc
F1_tuning_150_179,519,358,0.6897880539499036,0.5514764565043895,0.6688329869709678,0.2236719151578292,0.49722222222222223,-0.041334913969070165
F2_val_180_199,326,177,0.5429447852760736,0.6176771698327835,0.6108004926108375,0.24154041726475942,0.4877136752136752,-0.07447629122552722
F3_val_200_219,349,236,0.6762177650429799,0.5447352632368382,0.62656263446258,0.24093266735819446,0.48360655737704916,-0.10047720377019378
WF_F1_120_179_train_120_149,519,346,0.6666666666666666,0.5597079755421163,0.6450708694732388,0.2305369300190657,0.5,0.0
WF_F2_120_199_train_120_179,326,177,0.5429447852760736,0.5725931824214159,0.571834975369458,0.2472299093151961,0.5,0.0
WF_F3_120_219_train_120_199,349,235,0.673352435530086,0.46827174318775666,0.5830182725681995,0.24537880697676934,0.5,0.0
