window_months,base_threshold,stability_bonus,tuning_120_179_selection_auc,tuning_120_179_directional_auc,tuning_120_179_accuracy,tuning_120_179_calls,validation_180_219_selection_auc,validation_180_219_directional_auc,validation_180_219_accuracy,validation_180_219_calls,development_120_219_selection_auc,development_120_219_directional_auc,development_120_219_accuracy,development_120_219_calls,confirmation_220_266_selection_auc,confirmation_220_266_directional_auc,confirmation_220_266_accuracy,confirmation_220_266_calls,all_nonlocked_120_266_selection_auc,all_nonlocked_120_266_directional_auc,all_nonlocked_120_266_accuracy,all_nonlocked_120_266_calls
6,0.45,0.1,0.5681354881215362,0.6231441676122289,0.6582633053221288,1071,0.4981365205258133,0.5675738255676933,0.6044444444444445,675,0.554119134911409,0.6001064265961809,0.6374570446735395,1746,0.4915818270905923,0.5709844909619077,0.6408010012515645,799,0.5367351170568562,0.5896717058508966,0.6385068762278978,2545
6,0.45,0.2,0.5756113630198039,0.62713024871161,0.6582633053221288,1071,0.5141827716454583,0.571949602611013,0.6029629629629629,675,0.5633482173251936,0.6041004226531627,0.6368843069873997,1746,0.5010139917247387,0.5746721097889342,0.6408010012515645,799,0.5459475939089553,0.5936255702286771,0.63811394891945,2545
6,0.45,0.3,0.5796703296703296,0.6308707219441376,0.6601307189542484,1071,0.5304997527789478,0.5762826100101615,0.6014814814814815,675,0.5713107622255436,0.6078907797056694,0.6374570446735395,1746,0.5056454365485699,0.5780682706505689,0.6433041301627034,799,0.5527642867568389,0.597343778432998,0.6392927308447938,2545
6,0.5,0.1,0.563250866980431,0.6201909853501636,0.6573295985060691,1071,0.4878097850937357,0.5636552412724116,0.6,675,0.5497690509928046,0.5970463893468722,0.6351660939289805,1746,0.478401256058434,0.5674561124139862,0.6433041301627034,799,0.5295655056181277,0.5864437508003362,0.637721021611002,2545
6,0.5,0.2,0.5712394723804806,0.6241922066605152,0.6573295985060691,1071,0.505413808870599,0.5680074212706714,0.6,675,0.559563327307756,0.6010335701761274,0.6351660939289805,1746,0.4878353471226705,0.5712701583716957,0.6433041301627034,799,0.5392700911383674,0.5904573426303645,0.637721021611002,2545
6,0.5,0.3,0.5766696418176879,0.628138754986807,0.6591970121381886,1071,0.5185368084133517,0.5722991338409648,0.6,675,0.5673515383034367,0.6049910366124938,0.63631156930126,1746,0.4943867086011212,0.5748072227530232,0.6445556946182729,799,0.5465738335294126,0.594281061586905,0.6388998035363458,2545
6,0.55,0.1,0.5593310633961041,0.6168803258846299,0.6554621848739496,1071,0.4861519741382442,0.5590906878686116,0.5911111111111111,675,0.5491047602954326,0.5934923843919291,0.6305841924398625,1746,0.4741330030487805,0.5631990889525851,0.6408010012515645,799,0.527610961368069,0.5826638397221953,0.6337917485265226,2545
6,0.55,0.2,0.5689131356749045,0.6212650992062323,0.6545284780578898,1071,0.4960818181818182,0.5634118967452301,0.5925925925925926,675,0.5570270860176443,0.5976878385805134,0.6305841924398625,1746,0.4773553945029399,0.5669812868544737,0.6445556946182729,799,0.5339600496648158,0.5868031613252429,0.6349705304518664,2545
6,0.55,0.3,0.5759888510566017,0.6252696850079107,0.6554621848739496,1071,0.5058407595721028,0.5677729256353874,0.5955555555555555,675,0.5632901033906723,0.6016954650929487,0.6323024054982818,1746,0.4899515325278176,0.5706360925330786,0.6433041301627034,799,0.5419311867701945,0.590699970879962,0.6357563850687623,2545
9,0.45,0.1,0.5660186975897996,0.6083328356689912,0.6479925303454716,1071,0.4736169902204058,0.5538211727436432,0.597037037037037,675,0.5450149096920724,0.5861771915591496,0.6282932416953035,1746,0.4841897233201581,0.5601387803159713,0.6332916145181476,799,0.5275657505235009,0.5767669739260621,0.6298624754420432,2545
9,0.45,0.2,0.5706892729649363,0.6112456440351355,0.6479925303454716,1071,0.4901341536669276,0.5569020619392937,0.5940740740740741,675,0.5525745428529344,0.5890613959331082,0.627147766323024,1746,0.4900781070835975,0.5628970149685862,0.6332916145181476,799,0.5347412634052869,0.579663871561343,0.6290766208251474,2545
9,0.45,0.3,0.5734904214559386,0.6141685458752598,0.6498599439775911,1071,0.4996172981247607,0.5599814763196278,0.5955555555555555,675,0.5562343992444174,0.5918174740258041,0.6288659793814433,1746,0.4975380755170041,0.565507590453304,0.6332916145181476,799,0.5394411155957078,0.5824342260147217,0.6302554027504912,2545
9,0.5,0.1,0.5626915979074839,0.6049860079216948,0.646125116713352,1071,0.4637162174475607,0.5508405709894978,0.5955555555555555,675,0.5405937012819506,0.5832133853253426,0.6265750286368843,1746,0.4726355407465364,0.5554851037957093,0.6332916145181476,799,0.5209623015873015,0.5732037782145396,0.6286836935166994,2545
9,0.5,0.2,0.5656909228337801,0.608031713695246,0.6470588235294118,1071,0.4721299810246679,0.5539730787212171,0.597037037037037,675,0.5440468837731611,0.5861384810656617,0.6277205040091638,1746,0.4804539637637233,0.5583166854859724,0.6320400500625782,799,0.5258154331508909,0.5761664457680543,0.6290766208251474,2545
9,0.5,0.3,0.5702535564405782,0.610983213711648,0.6479925303454716,1071,0.4880863534594171,0.5572147227863392,0.5940740740740741,675,0.551843668679727,0.5890158702118936,0.627147766323024,1746,0.4886400322841001,0.560990957082332,0.6307884856070087,799,0.5337876341846847,0.5790119824424531,0.6282907662082515,2545
9,0.55,0.1,0.5536009490280116,0.6013860022020595,0.6489262371615313,1071,0.4489597174945847,0.5470856911943203,0.5940740740740741,675,0.5337647389107243,0.579802500152661,0.6277205040091638,1746,0.4600456621004566,0.5500815503247537,0.6345431789737171,799,0.512560710875177,0.5691966936555733,0.6298624754420432,2545
9,0.55,0.2,0.5644032294919643,0.6046251662268997,0.6451914098972923,1071,0.4590844402277039,0.5504172989937335,0.597037037037037,675,0.5391637038615538,0.5829309622883463,0.6265750286368843,1746,0.4658412363891816,0.5529507706264416,0.6345431789737171,799,0.5181619803300903,0.5722651043638457,0.6290766208251474,2545
9,0.55,0.3,0.5642720094175923,0.6076733953689459,0.6479925303454716,1071,0.4745890747583595,0.5537798779147882,0.5940740740740741,675,0.5450946559209926,0.5858718693569914,0.627147766323024,1746,0.4697689206374976,0.5558190258355289,0.6357947434292867,799,0.5235022443322168,0.5751995350090021,0.6298624754420432,2545
12,0.45,0.1,0.5511556712077147,0.6003682435757141,0.6489262371615313,1071,0.4590600112988173,0.5447377852108469,0.5955555555555555,675,0.5338372055458718,0.5785580395697574,0.6282932416953035,1746,0.4762174176601333,0.5539998262833319,0.6320400500625782,799,0.516828778448996,0.5694493152143019,0.6294695481335952,2545
12,0.45,0.2,0.5520919540229885,0.6021362837679275,0.6498599439775911,1071,0.4716545454545455,0.5474868409603407,0.5925925925925926,675,0.5388180797304885,0.580622235743634,0.6277205040091638,1746,0.478416004532639,0.556091181948908,0.6332916145181476,799,0.521158599470704,0.5716236733591625,0.6294695481335952,2545
