window,n,pearson,spearman,disagreement_count,disagreement_rate,chronos_accuracy_on_disagreements,active_accuracy_on_disagreements,active_wrong_chronos_correct_count,double_fault_count,double_fault_rate
tuning,2383,0.7085964271900431,0.6339123270728506,254,0.10658833403273185,0.5039370078740157,0.49606299212598426,128,856,0.35921107847251366
validation,1748,0.6728174339916781,0.6943705893151805,358,0.2048054919908467,0.4860335195530726,0.5139664804469274,174,657,0.37585812356979403
confirmation,2196,0.6276911067260961,0.6335564098955047,310,0.14116575591985428,0.4258064516129032,0.5741935483870968,132,816,0.37158469945355194
overall_nonlocked,6327,0.6668805924133631,0.6362253980072801,922,0.14572467204046152,0.47071583514099785,0.5292841648590022,434,2329,0.3681049470523155
