track,label,model_id,n,accuracy,balanced_accuracy,f1,mcc,brier,log_loss,roc_auc,selective_accepted,selective_coverage,selective_accepted_accuracy,selective_months,bootstrap_replicates,bootstrap_block,bootstrap_lower_90,bootstrap_upper_90,bootstrap_lower_95,bootstrap_upper_95,artifact,ready_rows,ready_months,full_accuracy,calibrated_brier,correctness_brier,accepted,coverage,accepted_accuracy,lcb_p10,lcb_p90
full_coverage,dev_ensemble,ensemble_equal_weight,6397.0,0.5185243082695014,0.5100186707980773,0.574585635359116,0.0200709768853094,0.2547623465721684,0.7032689477884139,0.5138953442180113,2940.0,0.459590433015476,0.5636054421768707,148.0,500.0,6.0,0.4975436649991034,0.539794361035676,0.4925955575535534,0.5417865844302722,reports\tables\all_metrics.csv,,,,,,,,,,
full_coverage,dev,ar1,6397.0,0.5188369548225731,0.5102565745044293,0.575096631695196,0.0205512162201604,0.253451656454576,0.7083586595133898,0.5229285841973543,1037.0,0.1621072377677036,0.5400192864030858,148.0,500.0,6.0,0.4994312582302462,0.5423557831963822,0.4956641913013039,0.5481181185076321,reports\tables\all_metrics.csv,,,,,,,,,,
full_coverage,dev,ar2,6397.0,0.4983586055963733,0.4892709450601835,0.5575623879773887,-0.0215066149066105,0.2573869648419601,0.7184032746323811,0.4848387657410718,1031.0,0.1611692981084883,0.4975751697381183,148.0,500.0,6.0,0.478067621388491,0.5191620077850201,0.4725418409519705,0.5243691779893467,reports\tables\all_metrics.csv,,,,,,,,,,
full_coverage,dev,global_logistic,6397.0,0.53790839455995,0.5025189687363445,0.6564388656438865,0.0060550264958331,0.2503824946165407,0.6958461174105086,0.5151702220633219,2945.0,0.4603720493981554,0.5772495755517827,148.0,500.0,6.0,0.5176058710831248,0.5609811184660736,0.5131673190379354,0.5666145105315156,reports\tables\all_metrics.csv,,,,,,,,,,
full_coverage,dev,majority,6397.0,0.5627637955291543,0.5,0.7202160648194459,0.0,0.2467043696154955,0.686565831184957,0.4636668752234536,2960.0,0.4627168985461935,0.558445945945946,148.0,500.0,6.0,0.533251462790671,0.5942183589889267,0.5280306897520985,0.6005385554245926,reports\tables\all_metrics.csv,,,,,,,,,,
full_coverage,dev,mean_reversion,6397.0,0.4669376270126621,0.4818495511063441,0.4339309428950863,-0.0371184010088124,0.3204849874556923,0.8940087058276608,0.4776902832399793,2960.0,0.4627168985461935,0.4479729729729729,148.0,500.0,6.0,0.4412929908072823,0.4895175174983249,0.4370995509537402,0.4933931354112095,reports\tables\all_metrics.csv,,,,,,,,,,
full_coverage,dev,momentum_12,6397.0,0.5336876660934813,0.5145192269495094,0.6169256453062797,0.0302916796775278,0.2555438791114269,0.72572712466669,0.5160485937313789,2690.0,0.420509613881507,0.5453531598513011,148.0,500.0,6.0,0.5106826800375238,0.557792394915622,0.5067311476789741,0.5611852803565497,reports\tables\all_metrics.csv,,,,,,,,,,
full_coverage,dev,momentum_3,6397.0,0.5191496013756448,0.5057893377825448,0.5889898450026724,0.0117603572255569,0.2526301622220429,0.7059556164725769,0.5003946192348946,1204.0,0.1882132249491949,0.5049833887043189,148.0,500.0,6.0,0.4957671959980304,0.5442392823085329,0.4936272848561314,0.547800404842246,reports\tables\all_metrics.csv,,,,,,,,,,
full_coverage,dev,momentum_6,6397.0,0.5343129591996248,0.5186235748619553,0.6086956521739131,0.0382122686927604,0.2517475407712028,0.7086449942101603,0.5233559269852619,1922.0,0.300453337501954,0.5390218522372529,148.0,500.0,6.0,0.5085846346356935,0.5613548753602329,0.5024130246834827,0.5680764266060047,reports\tables\all_metrics.csv,,,,,,,,,,
full_coverage,dev,persistence,6397.0,0.5168047522276067,0.5090890040916856,0.570634810390332,0.0181772842980706,0.3299171486634361,0.8929943986210068,0.5090890040916856,2960.0,0.4627168985461935,0.5422297297297297,148.0,500.0,6.0,0.4953990691586343,0.5382259906803564,0.4907151660331561,0.5404587418617431,reports\tables\all_metrics.csv,,,,,,,,,,
