coverage,cumulative_accuracy,correctness_lcb
0.00016818028927009755,1.0,0.6520816288448655
0.0003363605785401951,0.5,0.6501437325132181
0.0005045408678102926,0.3333333333333333,0.6493647725899926
0.0006727211570803902,0.5,0.6479151696507744
0.0008409014463504877,0.4,0.6474637740131993
0.0010090817356205853,0.5,0.6428630977210739
0.0011772620248906827,0.42857142857142855,0.6423715721900392
0.0013454423141607804,0.5,0.6416353253919861
0.0015136226034308778,0.4444444444444444,0.637625635373731
0.0016818028927009755,0.5,0.6299381580145179
0.001849983181971073,0.5454545454545454,0.6292848864336703
0.0020181634712411706,0.5,0.6284876492785595
0.002186343760511268,0.5384615384615384,0.6282270623858525
0.0023545240497813654,0.5,0.62643743300331
0.0025227043390514633,0.4666666666666667,0.6250384636580048
0.0026908846283215607,0.4375,0.6240971744351297
0.002859064917591658,0.47058823529411764,0.623099935819837
0.0030272452068617556,0.5,0.620753065727055
0.0031954254961318535,0.5263157894736842,0.6201436654645066
0.003363605785401951,0.5,0.620051780255224
0.0035317860746720484,0.5238095238095238,0.6197062269354693
0.003699966363942146,0.5454545454545454,0.6195271397892004
0.0038681466532122437,0.5217391304347826,0.6192236474382836
0.004036326942482341,0.5416666666666666,0.6188713490641801
0.004204507231752439,0.56,0.618237791643028
0.004372687521022536,0.5384615384615384,0.6180281675118704
0.004540867810292634,0.5185185185185185,0.6171137745401183
0.004709048099562731,0.5,0.6163505653707179
0.004877228388832829,0.4827586206896552,0.6159449222671998
0.005045408678102927,0.4666666666666667,0.6147325581569849
0.005213588967373024,0.4838709677419355,0.6130772092379349
0.0053817692566431215,0.5,0.6129149089518511
0.005549949545913219,0.5151515151515151,0.6128312780305005
0.005718129835183316,0.5,0.6128114552993484
0.005886310124453414,0.5142857142857142,0.6114932694960389
0.006054490413723511,0.5277777777777778,0.611427481198281
0.006222670702993609,0.5135135135135135,0.6112825633906805
0.006390850992263707,0.5263157894736842,0.6111532855118846
0.006559031281533804,0.5128205128205128,0.6110641694156876
0.006727211570803902,0.525,0.611012198631783
0.006895391860074,0.5121951219512195,0.6105809773628575
0.007063572149344097,0.5238095238095238,0.6098706537152081
0.007231752438614195,0.5348837209302325,0.6080032466962509
0.007399932727884292,0.5454545454545454,0.6078787700134644
0.0075681130171543895,0.5555555555555556,0.6070726822612182
0.007736293306424487,0.5434782608695652,0.6069906591907658
0.007904473595694584,0.5319148936170213,0.6069663943357212
0.008072653884964682,0.5208333333333334,0.6067517134391359
