model,method,window,threshold,calls,coverage,accuracy
active,causal_global_cohort,tuning_late,0.75,0,0.0,
active,causal_global_cohort,validation,0.5,600,1.0,0.5783333333333334
active,causal_global_cohort,validation,0.55,600,1.0,0.5783333333333334
active,causal_global_cohort,validation,0.6,600,1.0,0.5783333333333334
active,causal_global_cohort,validation,0.65,0,0.0,
active,causal_global_cohort,validation,0.7,0,0.0,
active,causal_global_cohort,validation,0.75,0,0.0,
active,causal_global_cohort,confirmation,0.5,0,,
active,causal_global_cohort,confirmation,0.55,0,,
active,causal_global_cohort,confirmation,0.6,0,,
active,causal_global_cohort,confirmation,0.65,0,,
active,causal_global_cohort,confirmation,0.7,0,,
active,causal_global_cohort,confirmation,0.75,0,,
active,causal_rank_beta,all,0.5,1305,1.0,0.6084291187739463
active,causal_rank_beta,all,0.55,1305,1.0,0.6084291187739463
active,causal_rank_beta,all,0.6,965,0.7394636015325671,0.6093264248704663
active,causal_rank_beta,all,0.65,413,0.3164750957854406,0.5811138014527845
active,causal_rank_beta,all,0.7,61,0.04674329501915709,0.5901639344262295
active,causal_rank_beta,all,0.75,0,0.0,
active,causal_rank_beta,tuning_early,0.5,255,1.0,0.611764705882353
active,causal_rank_beta,tuning_early,0.55,255,1.0,0.611764705882353
active,causal_rank_beta,tuning_early,0.6,220,0.8627450980392157,0.5818181818181818
active,causal_rank_beta,tuning_early,0.65,129,0.5058823529411764,0.5736434108527132
active,causal_rank_beta,tuning_early,0.7,28,0.10980392156862745,0.5714285714285714
active,causal_rank_beta,tuning_early,0.75,0,0.0,
active,causal_rank_beta,tuning_late,0.5,450,1.0,0.6466666666666666
active,causal_rank_beta,tuning_late,0.55,450,1.0,0.6466666666666666
active,causal_rank_beta,tuning_late,0.6,325,0.7222222222222222,0.6615384615384615
active,causal_rank_beta,tuning_late,0.65,195,0.43333333333333335,0.6358974358974359
active,causal_rank_beta,tuning_late,0.7,33,0.07333333333333333,0.6060606060606061
active,causal_rank_beta,tuning_late,0.75,0,0.0,
active,causal_rank_beta,validation,0.5,600,1.0,0.5783333333333334
active,causal_rank_beta,validation,0.55,600,1.0,0.5783333333333334
active,causal_rank_beta,validation,0.6,420,0.7,0.5833333333333334
active,causal_rank_beta,validation,0.65,89,0.14833333333333334,0.47191011235955055
active,causal_rank_beta,validation,0.7,0,0.0,
active,causal_rank_beta,validation,0.75,0,0.0,
active,causal_rank_beta,confirmation,0.5,0,,
active,causal_rank_beta,confirmation,0.55,0,,
active,causal_rank_beta,confirmation,0.6,0,,
active,causal_rank_beta,confirmation,0.65,0,,
active,causal_rank_beta,confirmation,0.7,0,,
active,causal_rank_beta,confirmation,0.75,0,,
active,causal_regime_beta,all,0.5,1290,0.9885057471264368,0.6093023255813953
active,causal_regime_beta,all,0.55,1230,0.9425287356321839,0.608130081300813
active,causal_regime_beta,all,0.6,915,0.7011494252873564,0.5934426229508196
active,causal_regime_beta,all,0.65,525,0.40229885057471265,0.5828571428571429
active,causal_regime_beta,all,0.7,15,0.011494252873563218,0.26666666666666666
active,causal_regime_beta,all,0.75,0,0.0,
active,causal_regime_beta,tuning_early,0.5,240,0.9411764705882353,0.6166666666666667
active,causal_regime_beta,tuning_early,0.55,225,0.8823529411764706,0.5955555555555555
active,causal_regime_beta,tuning_early,0.6,180,0.7058823529411765,0.5444444444444444
active,causal_regime_beta,tuning_early,0.65,180,0.7058823529411765,0.5444444444444444
active,causal_regime_beta,tuning_early,0.7,15,0.058823529411764705,0.26666666666666666
active,causal_regime_beta,tuning_early,0.75,0,0.0,
active,causal_regime_beta,tuning_late,0.5,450,1.0,0.6466666666666666
active,causal_regime_beta,tuning_late,0.55,420,0.9333333333333333,0.6523809523809524
active,causal_regime_beta,tuning_late,0.6,315,0.7,0.6666666666666666
active,causal_regime_beta,tuning_late,0.65,270,0.6,0.7
active,causal_regime_beta,tuning_late,0.7,0,0.0,
active,causal_regime_beta,tuning_late,0.75,0,0.0,
active,causal_regime_beta,validation,0.5,600,1.0,0.5783333333333334
active,causal_regime_beta,validation,0.55,585,0.975,0.5811965811965812
active,causal_regime_beta,validation,0.6,420,0.7,0.5595238095238095
active,causal_regime_beta,validation,0.65,75,0.125,0.25333333333333335
active,causal_regime_beta,validation,0.7,0,0.0,
active,causal_regime_beta,validation,0.75,0,0.0,
active,causal_regime_beta,confirmation,0.5,0,,
active,causal_regime_beta,confirmation,0.55,0,,
active,causal_regime_beta,confirmation,0.6,0,,
active,causal_regime_beta,confirmation,0.65,0,,
active,causal_regime_beta,confirmation,0.7,0,,
active,causal_regime_beta,confirmation,0.75,0,,
active,causal_rank_regime_beta,all,0.5,1305,1.0,0.6084291187739463
active,causal_rank_regime_beta,all,0.55,1286,0.98544061302682,0.6080870917573873
active,causal_rank_regime_beta,all,0.6,958,0.7340996168582375,0.5991649269311065
active,causal_rank_regime_beta,all,0.65,475,0.36398467432950193,0.5936842105263158
active,causal_rank_regime_beta,all,0.7,114,0.08735632183908046,0.5614035087719298
active,causal_rank_regime_beta,all,0.75,0,0.0,
active,causal_rank_regime_beta,tuning_early,0.5,255,1.0,0.611764705882353
active,causal_rank_regime_beta,tuning_early,0.55,247,0.9686274509803922,0.6153846153846154
active,causal_rank_regime_beta,tuning_early,0.6,221,0.8666666666666667,0.6018099547511312
active,causal_rank_regime_beta,tuning_early,0.65,147,0.5764705882352941,0.5170068027210885
active,causal_rank_regime_beta,tuning_early,0.7,39,0.15294117647058825,0.5897435897435898
active,causal_rank_regime_beta,tuning_early,0.75,0,0.0,
active,causal_rank_regime_beta,tuning_late,0.5,450,1.0,0.6466666666666666
active,causal_rank_regime_beta,tuning_late,0.55,445,0.9888888888888889,0.647191011235955
active,causal_rank_regime_beta,tuning_late,0.6,371,0.8244444444444444,0.6469002695417789
active,causal_rank_regime_beta,tuning_late,0.65,191,0.42444444444444446,0.7172774869109948
active,causal_rank_regime_beta,tuning_late,0.7,53,0.11777777777777777,0.6226415094339622
active,causal_rank_regime_beta,tuning_late,0.75,0,0.0,
active,causal_rank_regime_beta,validation,0.5,600,1.0,0.5783333333333334
active,causal_rank_regime_beta,validation,0.55,594,0.99,0.5757575757575758
active,causal_rank_regime_beta,validation,0.6,366,0.61,0.5491803278688525
active,causal_rank_regime_beta,validation,0.65,137,0.22833333333333333,0.5036496350364964
active,causal_rank_regime_beta,validation,0.7,22,0.03666666666666667,0.36363636363636365
active,causal_rank_regime_beta,validation,0.75,0,0.0,
active,causal_rank_regime_beta,confirmation,0.5,0,,
active,causal_rank_regime_beta,confirmation,0.55,0,,
active,causal_rank_regime_beta,confirmation,0.6,0,,
active,causal_rank_regime_beta,confirmation,0.65,0,,
active,causal_rank_regime_beta,confirmation,0.7,0,,
active,causal_rank_regime_beta,confirmation,0.75,0,,
active,causal_platt_score_rank,all,0.5,1305,1.0,0.6084291187739463
active,causal_platt_score_rank,all,0.55,1305,1.0,0.6084291187739463
active,causal_platt_score_rank,all,0.6,1163,0.8911877394636015,0.6087704213241617
active,causal_platt_score_rank,all,0.65,384,0.2942528735632184,0.6041666666666666
active,causal_platt_score_rank,all,0.7,17,0.013026819923371647,0.5882352941176471
active,causal_platt_score_rank,all,0.75,0,0.0,
active,causal_platt_score_rank,tuning_early,0.5,255,1.0,0.611764705882353
active,causal_platt_score_rank,tuning_early,0.55,255,1.0,0.611764705882353
active,causal_platt_score_rank,tuning_early,0.6,246,0.9647058823529412,0.6056910569105691
active,causal_platt_score_rank,tuning_early,0.65,141,0.5529411764705883,0.5886524822695035
active,causal_platt_score_rank,tuning_early,0.7,17,0.06666666666666667,0.5882352941176471
active,causal_platt_score_rank,tuning_early,0.75,0,0.0,
active,causal_platt_score_rank,tuning_late,0.5,450,1.0,0.6466666666666666
active,causal_platt_score_rank,tuning_late,0.55,450,1.0,0.6466666666666666
active,causal_platt_score_rank,tuning_late,0.6,425,0.9444444444444444,0.6447058823529411
active,causal_platt_score_rank,tuning_late,0.65,191,0.42444444444444446,0.6649214659685864
active,causal_platt_score_rank,tuning_late,0.7,0,0.0,
active,causal_platt_score_rank,tuning_late,0.75,0,0.0,
active,causal_platt_score_rank,validation,0.5,600,1.0,0.5783333333333334
active,causal_platt_score_rank,validation,0.55,600,1.0,0.5783333333333334
active,causal_platt_score_rank,validation,0.6,492,0.82,0.5792682926829268
active,causal_platt_score_rank,validation,0.65,52,0.08666666666666667,0.4230769230769231
active,causal_platt_score_rank,validation,0.7,0,0.0,
active,causal_platt_score_rank,validation,0.75,0,0.0,
active,causal_platt_score_rank,confirmation,0.5,0,,
active,causal_platt_score_rank,confirmation,0.55,0,,
