origin_position,realized,forecast,last_breadth,breadth3,stress,broad_down
120,0.7714285714285715,0.6839363377890213,0.5405405405405406,0.6216216216216216,0.5,0
121,0.8285714285714286,0.6148257757473803,0.2702702702702703,0.5675675675675675,0.5,0
122,0.7142857142857143,0.6053062543298295,0.7567567567567568,0.5225225225225225,0.5,0
123,0.11428571428571428,0.6311512389505468,0.8108108108108109,0.6126126126126127,0.5,1
124,0.34285714285714286,0.7151927225723239,0.7027027027027027,0.7567567567567567,0.5,1
125,0.8857142857142857,0.6484000656169693,0.10810810810810811,0.5405405405405407,0.5,0
126,0.37142857142857144,0.6080480497485634,0.32432432432432434,0.37837837837837834,0.5,1
127,0.9714285714285714,0.6299037967072646,0.8648648648648649,0.43243243243243246,0.5,0
128,0.8857142857142857,0.5306070895539975,0.34210526315789475,0.5104314841156946,0.5,0
129,0.2857142857142857,0.7332373044638528,0.9473684210526315,0.7181128496917971,0.5,1
130,0.8285714285714286,0.6703009723426016,0.868421052631579,0.7192982456140351,0.5,0
131,0.5428571428571428,0.6439218384445453,0.3076923076923077,0.7078272604588394,0.5,0
132,0.8857142857142857,0.680310256869858,0.7948717948717948,0.6569950517318938,0.39583333333333337,0
133,0.6,0.6322155749277607,0.5128205128205128,0.5384615384615384,0.6153846153846154,0
134,0.9428571428571428,0.6560328646372023,0.8717948717948718,0.7264957264957265,0.3651785714285714,0
135,0.34285714285714286,0.6337123761290431,0.6153846153846154,0.6666666666666666,0.5383333333333333,1
136,0.22857142857142856,0.8010084607208469,0.9487179487179487,0.8119658119658121,0.28359375,1
137,0.5555555555555556,0.5652401633376958,0.3076923076923077,0.6239316239316239,0.6397058823529411,0
138,0.2777777777777778,0.5893231199638379,0.23076923076923078,0.49572649572649574,0.7777777777777777,1
139,0.05555555555555555,0.6244258616326966,0.5641025641025641,0.36752136752136755,0.6848684210526317,1
140,0.8888888888888888,0.7320211043244003,0.2564102564102564,0.35042735042735035,0.8675,0
141,0.3888888888888889,0.6359097583026533,0.05128205128205128,0.29059829059829057,0.8720238095238095,1
142,0.5833333333333334,0.637936261858496,0.8974358974358975,0.40170940170940167,0.4181818181818181,0
143,0.8611111111111112,0.651188660018511,0.358974358974359,0.4358974358974359,0.5853260869565218,0
144,0.75,0.5522097965832437,0.5384615384615384,0.5982905982905983,0.5968749999999999,0
145,0.5,0.5583625642069118,0.8717948717948718,0.5897435897435898,0.3815,0
146,0.4444444444444444,0.6241504791645711,0.717948717948718,0.7094017094017092,0.33076923076923076,1
147,0.16666666666666666,0.6175250791960948,0.5,0.6965811965811964,0.3907407407407408,1
148,0.8333333333333334,0.6269863671924804,0.4,0.5393162393162393,0.6714285714285715,0
149,0.8055555555555556,0.6273545935985835,0.175,0.35833333333333334,0.8017241379310345,0
150,0.6666666666666666,0.5318809799005406,0.825,0.4666666666666666,0.4645833333333333,0
151,0.8918918918918919,0.6479356928992285,0.725,0.575,0.5596774193548387,0
152,0.35135135135135137,0.6124016680701239,0.625,0.725,0.3484375,1
153,0.7297297297297297,0.639229865378497,0.9,0.75,0.23939393939393938,0
154,0.6052631578947368,0.6421206128225958,0.35,0.6249999999999999,0.6602941176470587,0
155,0.7631578947368421,0.7012744283935299,0.7,0.65,0.4032142857142857,0
156,0.5,0.7168641237864816,0.6,0.5499999999999999,0.5875,0
157,0.7368421052631579,0.6176462622794453,0.775,0.6916666666666665,0.3841216216216216,0
158,0.6842105263157895,0.506200786216908,0.5,0.625,0.5677631578947369,0
159,0.34210526315789475,0.6087605699482332,0.7,0.6583333333333333,0.4983974358974359,1
160,0.2631578947368421,0.5464541798124476,0.675,0.6249999999999999,0.5771875,1
161,0.868421052631579,0.5226506047089714,0.325,0.5666666666666667,0.7698170731707318,0
162,0.21052631578947367,0.4865571323253468,0.275,0.425,0.7678571428571429,1
163,0.7894736842105263,0.4919867515633195,0.875,0.49166666666666664,0.4331395348837209,0
164,0.7368421052631579,0.5373760603022639,0.24390243902439024,0.4646341463414634,0.6142045454545454,0
165,0.5263157894736842,0.5079356750124848,0.7857142857142857,0.6348722415795586,0.33472222222222225,0
166,0.5789473684210527,0.523143396009837,0.7380952380952381,0.5892373209446379,0.3565217391304348,0
167,0.3157894736842105,0.4749868200989635,0.5238095238095238,0.6825396825396824,0.5382978723404255,1
168,0.9210526315789473,0.5125258795027617,0.5952380952380952,0.6190476190476191,0.5677083333333334,0
169,0.47368421052631576,0.6339978432729296,0.30952380952380953,0.4761904761904761,0.6880102040816327,1
170,0.717948717948718,0.642287071525437,0.9047619047619048,0.6031746031746031,0.34825000000000006,0
171,0.7435897435897436,0.598549992818969,0.4523809523809524,0.5555555555555555,0.5791666666666667,0
172,0.8461538461538461,0.6897222971022166,0.7142857142857143,0.6904761904761904,0.3716346153846154,0
173,0.23076923076923078,0.6135898526497344,0.7619047619047619,0.6428571428571428,0.4827830188679245,1
174,0.6666666666666666,0.5789225190202602,0.8571428571428571,0.7777777777777777,0.1851851851851852,0
175,0.1282051282051282,0.6487252923058839,0.21428571428571427,0.611111111111111,0.6956818181818183,1
176,0.5128205128205128,0.6099327793949864,0.6744186046511628,0.5819490586932446,0.4962053571428572,0
177,0.5641025641025641,0.5759546746147067,0.11627906976744186,0.3349944629014396,0.8552631578947368,0
178,0.3076923076923077,0.5993584688247536,0.5348837209302325,0.44186046511627897,0.6760775862068965,1
179,0.4358974358974359,0.695675797796803,0.6046511627906976,0.41860465116279055,0.6146186440677965,1
180,0.717948717948718,0.6588887751723748,0.27906976744186046,0.47286821705426346,0.803125,0
181,0.28205128205128205,0.5396682011569313,0.4418604651162791,0.44186046511627897,0.6063524590163935,1
182,0.6666666666666666,0.5185305577112544,0.7209302325581395,0.4806201550387596,0.5064516129032258,0
183,0.46153846153846156,0.5870130854137267,0.27906976744186046,0.4806201550387596,0.6511904761904761,1
184,0.1794871794871795,0.46753037622934984,0.6511627906976745,0.5503875968992248,0.42792968749999993,1
185,0.4358974358974359,0.5888810094375061,0.46511627906976744,0.4651162790697674,0.6646153846153846,1
186,0.15384615384615385,0.5640035077261241,0.18604651162790697,0.4341085271317829,0.7818181818181817,1
187,0.175,0.42977422044453967,0.4883720930232558,0.37984496124031003,0.7563432835820895,1
188,0.8780487804878049,0.4551087164472929,0.13953488372093023,0.27131782945736427,0.848529411764706,0
189,0.2926829268292683,0.4800681288420444,0.18604651162790697,0.27131782945736427,0.7317028985507247,1
190,0.24390243902439024,0.5265646550003822,0.8837209302325582,0.40310077519379833,0.35678571428571426,1
191,0.24390243902439024,0.517815316527464,0.29545454545454547,0.45507399577167007,0.6248239436619717,1
192,0.6097560975609756,0.5991380842449634,0.25,0.47639182522903445,0.6788194444444444,0
193,0.9512195121951219,0.41552095344089635,0.22727272727272727,0.25757575757575746,0.8094178082191781,0
194,0.7560975609756098,0.4488413611778434,0.6363636363636364,0.3712121212121211,0.5346283783783783,0
195,0.4634146341463415,0.5982646623686901,0.9318181818181818,0.5984848484848483,0.20566666666666666,1
196,0.6585365853658537,0.6457868418648756,0.7272727272727273,0.765151515151515,0.27039473684210524,0
197,0.8048780487804879,0.520513047371794,0.4772727272727273,0.7121212121212119,0.44740259740259736,0
198,0.3902439024390244,0.65464783854134,0.6590909090909091,0.6212121212121211,0.4248397435897436,1
199,0.5238095238095238,0.6329631700290131,0.8181818181818182,0.6515151515151514,0.27816455696202536,0
200,0.19047619047619047,0.5542155427578417,0.36363636363636365,0.6136363636363634,0.5359375,1
201,0.5,0.6102865816199528,0.5227272727272727,0.568181818181818,0.4847222222222222,0
202,0.5952380952380952,0.6032528413302877,0.18181818181818182,0.3560606060606059,0.7722560975609757,0
203,0.8333333333333334,0.6157641521962461,0.5,0.4015151515151514,0.6271084337349397,0
204,0.8095238095238095,0.6678972582823559,0.5909090909090909,0.4242424242424241,0.5616071428571429,0
205,0.35714285714285715,0.6755320761345126,0.8181818181818182,0.6363636363636362,0.3632352941176471,1
206,0.6666666666666666,0.6713775632213355,0.8181818181818182,0.7424242424242422,0.2944767441860465,0
207,0.6904761904761905,0.55013266041814,0.3409090909090909,0.659090909090909,0.45545977011494254,0
208,0.4523809523809524,0.591832555043568,0.6590909090909091,0.606060606060606,0.5122159090909091,1
209,0.9285714285714286,0.5877994417480898,0.6818181818181818,0.5606060606060604,0.5195224719101124,0
210,0.5714285714285714,0.5567523333444142,0.45454545454545453,0.5984848484848483,0.5909722222222222,0
211,0.5714285714285714,0.6789035948005423,0.9090909090909091,0.6818181818181817,0.28406593406593406,0
212,0.6428571428571429,0.5797051961038535,0.5454545454545454,0.6363636363636362,0.43994565217391307,0
213,0.7142857142857143,0.48577221007994975,0.5909090909090909,0.6818181818181817,0.44623655913978494,0
214,0.7906976744186046,0.6004903527814752,0.6590909090909091,0.5984848484848483,0.4271276595744681,0
215,0.7906976744186046,0.5420873912582279,0.7272727272727273,0.659090909090909,0.455,0
216,0.046511627906976744,0.5769510042451841,0.7727272727272727,0.7196969696969694,0.27903645833333335,1
217,0.3488372093023256,0.47682073139719805,0.7954545454545454,0.765151515151515,0.2757731958762887,1
218,0.5116279069767442,0.5367917604061542,0.06818181818181818,0.5454545454545453,0.729719387755102,0
219,0.6046511627906976,0.6617916097822845,0.3409090909090909,0.4015151515151514,0.7484848484848485,0
220,0.37209302325581395,0.6678867054762998,0.5,0.30303030303030287,0.713625,1
221,0.7209302325581395,0.6875337156247485,0.6136363636363636,0.4848484848484847,0.505569306930693,0
222,0.5581395348837209,0.5628971336346991,0.36363636363636365,0.49242424242424226,0.6752450980392157,0
223,0.5813953488372093,0.4799424655466169,0.7111111111111111,0.5627946127946126,0.5180825242718446,0
224,0.13953488372093023,0.4936449579949502,0.5333333333333333,0.5360269360269359,0.5801682692307693,1
225,0.627906976744186,0.5582248467230023,0.6,0.6148148148148147,0.5057142857142858,0
226,0.2558139534883721,0.5091630436795228,0.13333333333333333,0.42222222222222205,0.8290094339622642,1
227,0.9302325581395349,0.5507067246871907,0.6222222222222222,0.4518518518518517,0.5058411214953271,0
228,0.7441860465116279,0.5094706337464925,0.24444444444444444,0.3333333333333332,0.8174768518518519,0
229,0.7209302325581395,0.45942850383547373,0.9333333333333333,0.5999999999999999,0.296559633027523,0
230,0.6046511627906976,0.5997538051518204,0.7608695652173914,0.6462157809983896,0.2853409090909091,0
231,0.20930232558139536,0.5548205680086226,0.6739130434782609,0.7893719806763283,0.3394144144144144,1
232,0.9767441860465116,0.5265416018489579,0.5869565217391305,0.6739130434782608,0.4241071428571428,0
233,0.5116279069767442,0.620670038382271,0.21739130434782608,0.4927536231884057,0.7786504424778761,0
234,0.37209302325581395,0.6158234522924663,0.9565217391304348,0.5869565217391303,0.33453947368421055,1
235,0.7209302325581395,0.6026740653850359,0.5217391304347826,0.5652173913043477,0.49847826086956526,0
236,0.8372093023255814,0.6356998069488798,0.34782608695652173,0.608695652173913,0.6209051724137931,0
237,0.627906976744186,0.6622263998183004,0.717391304347826,0.5289855072463766,0.4901709401709402,0
238,0.8604651162790697,0.6756810052852832,0.782608695652174,0.615942028985507,0.32828389830508475,0
239,0.4883720930232558,0.5857764731588174,0.6086956521739131,0.7028985507246376,0.4236344537815126,1
240,0.13953488372093023,0.6448981703927344,0.8478260869565217,0.7463768115942028,0.21354166666666669,1
241,0.09302325581395349,0.5546203232536578,0.46808510638297873,0.6415356151711378,0.6084710743801653,1
242,0.8837209302325582,0.6145723697837064,0.14583333333333334,0.4872481755576112,0.8125,0
243,0.8604651162790697,0.5675920724155505,0.08333333333333333,0.23241725768321497,0.8982723577235772,0
244,0.7441860465116279,0.5425354486743545,0.875,0.36805555555555536,0.504133064516129,0
245,0.8837209302325582,0.5369707220141943,0.875,0.6111111111111109,0.3255,0
246,0.8181818181818182,0.6789659598376134,0.75,0.8333333333333331,0.22757936507936505,0
247,0.1590909090909091,0.5360674675826027,0.875,0.8333333333333331,0.1970472440944882,1
248,0.36363636363636365,0.610511653537261,0.8333333333333334,0.8194444444444443,0.23681640625,1
249,0.9090909090909091,0.5188431772147726,0.16666666666666666,0.6249999999999999,0.6050387596899225,0
250,0.9545454545454546,0.5317444671598186,0.3541666666666667,0.4513888888888888,0.6153846153846153,0
251,0.4318181818181818,0.6220882923367005,0.9166666666666666,0.4791666666666665,0.3728053435114504,1
252,0.5909090909090909,0.5846224084725833,0.9583333333333334,0.7430555555555554,0.24393939393939396,0
253,0.5777777777777777,0.608913660066326,0.4375,0.7708333333333331,0.4682330827067669,0
254,0.9555555555555556,0.5998138245300865,0.5833333333333334,0.6597222222222221,0.49916044776119406,0
255,0.8444444444444444,0.5337877678507588,0.5833333333333334,0.5347222222222222,0.5697222222222222,0
256,0.4888888888888889,0.6078110447659532,0.9375,0.7013888888888888,0.28869485294117647,1
