window,months,calls,broad_down_months,production_hits,production_accuracy,longrun_drift_oracle_hits,longrun_drift_oracle_accuracy,window_drift_oracle_hits,window_drift_oracle_accuracy,breadth_timing_oracle_hits,breadth_timing_oracle_accuracy,longrun_plus_breadth_timing_hits,longrun_plus_breadth_timing_accuracy,perfect_up_selection_hits,perfect_up_selection_accuracy
tuning,60,1071,21,686,0.6405228758169934,689,0.6433239962651728,694,0.6479925303454716,824,0.76937441643324,841,0.7852474323062558,914,0.8534080298786181
validation,40,675,16,395,0.5851851851851851,399,0.5911111111111111,423,0.6266666666666667,473,0.7007407407407408,473,0.7007407407407408,600,0.8888888888888888
confirmation,47,799,17,508,0.6357947434292867,508,0.6357947434292867,521,0.6520650813516896,666,0.8335419274092616,637,0.7972465581977471,701,0.8773466833541927
all_nonlocked,147,2545,54,1589,0.6243614931237721,1596,0.6271119842829077,1638,0.6436149312377211,1963,0.7713163064833006,1951,0.7666011787819254,2215,0.8703339882121808
